Feature,Importance
TotalCharges,0.17332263276966273
MonthlyCharges,0.16507077404287906
tenure,0.1528676618106749
Contract,0.11141284724003742
OnlineSecurity,0.05439341984903854
PaymentMethod,0.049811438826690105
TechSupport,0.044646176688939825
InternetService,0.03073554379535229
OnlineBackup,0.026704324183929793
PaperlessBilling,0.025342078952784345
gender,0.025008373926385007
DeviceProtection,0.022356048741852392
Partner,0.021494475495880763
MultipleLines,0.020655779432836592
Dependents,0.019508574648399904
SeniorCitizen,0.017595214440989375
StreamingMovies,0.017205325671141535
StreamingTV,0.016088472694942534
PhoneService,0.005780836787582836
